Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas;Classificação;Sigla_UF;Data
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Abril;4;0;Baixa;DF;2023-04-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Maio;5;0;Baixa;DF;2023-05-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Junho;6;3;Média;DF;2023-06-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Julho;7;1;Média;DF;2023-07-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Setembro;9;0;Baixa;DF;2023-09-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Outubro;10;2;Média;DF;2023-10-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Novembro;11;4;Média;DF;2023-11-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;3;Média;DF;2023-12-01
ÁSIA;5;Tailândia;54;Distrito Federal;7;Aéreo;1;2023;Marco;3;0;Baixa;DF;2023-03-01
ÁSIA;5;Tailândia;54;Distrito Federal;7;Aéreo;1;2023;Abril;4;0;Baixa;DF;2023-04-01
ÁSIA;5;Tailândia;54;Distrito Federal;7;Aéreo;1;2023;Junho;6;3;Média;DF;2023-06-01
ÁSIA;5;Tailândia;54;Distrito Federal;7;Aéreo;1;2023;Agosto;8;1;Média;DF;2023-08-01
ÁSIA;5;Tailândia;54;Distrito Federal;7;Aéreo;1;2023;Outubro;10;3;Média;DF;2023-10-01
